Countries_fintechs,CB_Ranking,Country,Year,oneA,oneB,oneC,twoA,twoB,twoC,twoD,twoE,threeA,threeB,threeC,threeD,fourA,fourB,fiveA,fiveB,sixA
0,1000,Guyana,2011,2.192939564,3.772594,4.178881,3.666345999,3.035586113,4.283973354,3.946840772,28.8525347,3.772594,4.178881,2.365037304,5.350428215,7.65386838,69,1.681629553,2.777629916,11.74300003
0,1000,Paraguay,2011,2.304209234,4.44293,4.451445,2.250301693,1.974354988,4.179426325,3.566295809,15.7507178,4.44293,4.451445,2.694951345,5.270434743,-2.258653925,88.49759674,2.765591794,3.698873553,4.669000149
0,1000,Peru,2011,2.947459674,4.982491,5.482826,3.423768004,3.942423171,5.059835354,4.988724763,27.72120746,4.982491,5.482826,3.3289835,6.029485277,24.80336873,84.69213104,4.190725876,4.652907355,3.441999912
0,1000,Suriname,2011,2.549379796,4.066480296,4.087595489,3.341147559,3.46311452,4.332340569,4.248795022,33.62109834,4.026271809,4.100248466,2.774450389,5.187759864,20.77789314,95.92082748,3.695647953,4.405482268,7.539999962
0,1000,Uruguay,2011,2.479134247,4.293709,4.293115,4.360189787,5.548969939,5.022257978,5.391874042,55.19430478,4.293709,4.293115,2.708086637,5.445550096,25.05741871,113.1260071,3.024231483,3.645073265,6.30700016
0,1000,Venezuela,2011,1.964153319,3.496837,3.858322,3.234886485,3.082049816,4.315873184,3.741079973,30.94994131,3.496837,3.858322,2.127785973,3.990190384,20.86338942,98.39138794,4.455422524,4.688270267,6.90199995
2,11,Argentina,2010,2.131687013,4.20162357,4.100914611,3.13220122,3.011554956,4.41323541,4.099274039,28.07662964,4.21356595,4.249848393,2.005931275,4.186022592,44.67420992,116.4637833,4.735389863,5.270530488,8.645000458
6,219,Brazil,2010,2.726829985,4.983302093,4.681231795,3.007477055,3.655066871,5.293157078,5.301884141,35.20000076,4.604125351,4.785643184,3.040690617,6.29089256,41.26395467,77.55905914,5.613040349,5.674106512,8.522000313
0,1000,Chile,2010,3.471015908,4.934348385,4.878247334,2.966309375,4.64350613,5.75289576,5.353454452,32.47349548,4.742264701,4.973945135,3.872173634,6.478967834,36.79444509,88.05947876,4.145974376,5.138578173,11.31299973
1,532,Colombia,2010,2.6280437,4.189496081,4.01361745,3.49531391,3.290592958,4.223709734,4.712359146,36.62086868,4.522777785,4.216603679,3.082642885,5.43296173,28.38407432,88.49760437,4.535972812,4.90520855,12.06599998
3,86,Mexico,2010,2.387826515,5.377332941,4.468432568,2.802925023,3.406521028,4.579864372,5.038724766,21.57708549,3.949337235,4.010074046,2.697158717,5.663691113,22.56323278,69.85410309,5.459790475,5.917614082,5.355999947
0,1000,Bolivia,2010,2.487871152,3.468902509,3.76222702,2.832744067,2.453060941,3.308190245,3.344652586,10.49916267,3.428420742,3.883747314,2.123445955,5.200956034,-3.856784436,49.82344818,2.958627054,4.103511361,2.576999903
0,1000,Ecuador,2010,2.166178231,3.448432517,3.88533304,2.939203493,2.834177635,3.655944543,3.831251479,9.714320183,3.345640786,3.800370335,2.351211641,4.874634467,9.187840031,86.00936127,3.640645374,4.564551999,4.087999821
0,1000,Guyana,2010,2.277647788,3.681254675,4.090244299,3.395493815,2.500977823,4.011755139,4.070305799,25.74850273,3.634656669,4.25467701,2.44520108,5.568615056,14.61134411,94.88271057,1.367576618,3.000730197,11.65699959
0,1000,Paraguay,2010,1.972164331,3.515741086,4.170002286,2.104723801,1.607655543,3.762525025,3.752305291,8.654605865,3.437216387,4.06047252,2.443308622,5.212146074,5.266649813,92.82478333,2.764150625,4.040298618,4.568999767
0,1000,Peru,2010,3.021881676,4.43460753,4.565850863,3.069441967,3.460897369,4.235800038,5.201017083,25.25857925,4.344223425,4.700769228,3.403081066,5.926423916,21.52949487,74.24069977,4.178437267,4.864766122,3.477999926
0,1000,Suriname,2010,2.549379796,4.049361226,4.091623169,3.341147559,3.46311452,4.319424318,4.245819979,33.62109834,4.012515738,4.110905742,2.786931247,5.187759864,20.49908681,96.13111515,3.693039898,4.409936755,7.150000095
0,1000,Uruguay,2010,2.381859063,3.797115531,4.08830938,4.047633015,4.495224121,4.598575468,5.315757491,39.99457932,3.813926411,4.158920484,2.549587482,5.218063152,24.62479832,104.6967392,3.005895715,3.89357409,7.157999992
0,1000,Venezuela,2010,2.234879338,3.644616149,3.675383731,3.233044866,3.032401113,3.892005013,3.788171038,25.48700142,3.545329482,3.654257489,2.36944105,4.5698787,24.57104951,96.30944061,4.352750563,5.160007992,8.449999809
